# Wavelength(um) Reflectance(%)
1.250500500500500545e+00 5.830758734233002505e-01
1.251751751751751796e+00 5.850596445910901666e-01
1.253003003003003046e+00 5.869710046189319241e-01
1.254254254254254297e+00 5.888109579182897457e-01
1.255505505505505548e+00 5.905804867103757738e-01
1.256756756756756799e+00 5.922805508262614094e-01
1.258008008008008050e+00 5.939120875612403649e-01
1.259259259259259300e+00 5.954760115789351493e-01
1.260510510510510551e+00 5.969732148609264710e-01
1.261761761761761802e+00 5.984045666980201128e-01
1.263013013013013053e+00 5.997709137194778828e-01
1.264264264264264304e+00 6.010730799568405613e-01
1.265515515515515554e+00 6.023118669392028002e-01
1.266766766766766805e+00 6.034880538170040998e-01
1.268018018018018056e+00 6.046023975116666671e-01
1.269269269269269307e+00 6.056556328885520646e-01
1.270520520520520558e+00 6.066484729509604712e-01
1.271771771771771808e+00 6.075816090530226088e-01
1.273023023023023059e+00 6.084557111295458842e-01
1.274274274274274310e+00 6.092714279410045286e-01
1.275525525525525561e+00 6.100293873320294935e-01
1.276776776776776812e+00 6.107301965018846479e-01
1.278028028028028062e+00 6.113744422855440508e-01
1.279279279279279313e+00 6.119626914441185228e-01
1.280530530530530564e+00 6.124954909634782174e-01
1.281781781781781815e+00 6.129733683600315786e-01
1.283033033033033066e+00 6.133968319927276536e-01
1.284284284284284317e+00 6.137663713804232257e-01
1.285535535535535567e+00 6.140824575238571503e-01
1.286786786786786818e+00 6.143455432315575448e-01
1.288038038038038069e+00 6.145560634490632168e-01
1.289289289289289320e+00 6.147144355909344160e-01
1.290540540540540571e+00 6.148210598750761813e-01
1.291791791791791821e+00 6.148763196589660529e-01
1.293043043043043072e+00 6.148805817774313232e-01
1.294294294294294323e+00 6.148341968816781744e-01
1.295545545545545574e+00 6.147374997793143558e-01
1.296796796796796825e+00 6.145908097751675569e-01
1.298048048048048075e+00 6.143944310127242847e-01
1.299299299299299326e+00 6.141486528160728930e-01
1.300550550550550577e+00 6.138537500322563956e-01
1.301801801801801828e+00 6.135099833739833253e-01
1.303053053053053079e+00 6.131175997626689966e-01
1.304304304304304329e+00 6.126768326718156077e-01
1.305555555555555580e+00 6.121879024707623795e-01
1.306806806806806831e+00 6.116510167688601340e-01
1.308058058058058082e+00 6.110663707601559080e-01
1.309309309309309333e+00 6.104341475686789753e-01
1.310560560560560583e+00 6.097545185944625024e-01
1.311811811811811834e+00 6.090276438604240727e-01
1.313063063063063085e+00 6.082536723602740558e-01
1.314314314314314336e+00 6.074327424076131354e-01
1.315565565565565587e+00 6.065649819864051828e-01
1.316816816816816837e+00 6.056505091030262022e-01
1.318068068068068088e+00 6.046894321400916317e-01
1.319319319319319339e+00 6.036818502122830443e-01
1.320570570570570590e+00 6.026278535244021795e-01
1.321821821821821841e+00 6.015275237318871149e-01
1.323073073073073092e+00 6.003809343040343860e-01
1.324324324324324342e+00 5.991881508901704123e-01
1.325575575575575593e+00 5.979492316890367976e-01
1.326826826826826844e+00 5.966642278216323092e-01
1.328078078078078095e+00 5.953331837077912025e-01
1.329329329329329346e+00 5.939561374467409172e-01
1.330580580580580596e+00 5.925331212019221416e-01
1.331831831831831847e+00 5.910641615903247104e-01
1.333083083083083098e+00 5.895492800766072294e-01
1.334334334334334349e+00 5.879884933722656637e-01
1.335585585585585600e+00 5.863818138401104552e-01
1.336836836836836850e+00 5.847292499043068581e-01
1.338088088088088101e+00 5.830308064662359513e-01
1.339339339339339352e+00 5.812864853264189113e-01
1.340590590590590603e+00 5.794962856127524597e-01
1.341841841841841854e+00 5.776602042152825245e-01
1.343093093093093104e+00 5.757782362277398258e-01
1.344344344344344355e+00 5.738503753960693121e-01
1.345595595595595606e+00 5.718766145741286389e-01
1.346846846846846857e+00 5.698569461867791786e-01
1.348098098098098108e+00 5.677913627005259922e-01
1.349349349349349358e+00 5.656798571018821775e-01
1.350600600600600609e+00 5.635224233836065855e-01
1.351851851851851860e+00 5.613190570389363643e-01
1.353103103103103111e+00 5.590697555639457805e-01
1.354354354354354362e+00 5.567745189681019280e-01
1.355605605605605612e+00 5.544333502931068081e-01
1.356856856856856863e+00 5.520462561400659718e-01
1.358108108108108114e+00 5.496132472050059281e-01
1.359359359359359365e+00 5.471343388227469795e-01
1.360610610610610616e+00 5.446095515190887415e-01
1.361861861861861867e+00 5.420389115712610506e-01
1.363113113113113117e+00 5.394224515765448924e-01
1.364364364364364368e+00 5.367602110289384498e-01
1.365615615615615619e+00 5.340522369037110639e-01
1.366866866866866870e+00 5.312985842496628086e-01
1.368118118118118121e+00 5.284993167888324406e-01
1.369369369369369371e+00 5.256545075234233533e-01
1.370620620620620622e+00 5.227642393495850470e-01
1.371871871871871873e+00 5.198286056777409181e-01
1.373123123123123124e+00 5.168477110590344870e-01
1.374374374374374375e+00 5.138216718174547504e-01
1.375625625625625625e+00 5.107506166871531583e-01
1.376876876876876876e+00 5.076346874543984367e-01
1.378128128128128127e+00 5.044740396035741758e-01
1.379379379379379378e+00 5.012688429665822509e-01
1.380630630630630629e+00 4.980192823749459707e-01
1.381881881881881879e+00 4.947255583138145951e-01
1.383133133133133130e+00 4.913878875772065280e-01
1.384384384384384381e+00 4.880065039233186797e-01
1.385635635635635632e+00 4.845816587293519384e-01
1.386886886886886883e+00 4.811136216445621727e-01
1.388138138138138133e+00 4.776026812406310995e-01
1.389389389389389384e+00 4.740491456582206498e-01
1.390640640640640635e+00 4.704533432485300537e-01
1.391891891891891886e+00 4.668156232086409507e-01
1.393143143143143137e+00 4.631363562093535058e-01
1.394394394394394388e+00 4.594159350141600040e-01
1.395645645645645638e+00 4.556547750879675895e-01
1.396896896896896889e+00 4.518533151940719028e-01
1.398148148148148140e+00 4.480120179778975809e-01
1.399399399399399391e+00 4.441313705358985175e-01
1.400650650650650642e+00 4.402118849679988455e-01
1.401901901901901892e+00 4.362540989119034207e-01
1.403153153153153143e+00 4.322585760575383129e-01
1.404404404404404394e+00 4.282259066398497738e-01
1.405655655655655645e+00 4.241567079081646208e-01
1.406906906906906896e+00 4.200516245702372586e-01
1.408158158158158146e+00 4.159113292091278780e-01
1.409409409409409397e+00 4.117365226709798209e-01
1.410660660660660648e+00 4.075279344217719313e-01
1.411911911911911899e+00 4.032863228711053294e-01
1.413163163163163150e+00 3.990124756610422541e-01
1.414414414414414400e+00 3.947072099180521376e-01
1.415665665665665651e+00 3.903713724660906048e-01
1.416916916916916902e+00 3.860058399988556821e-01
1.418168168168168153e+00 3.816115192092973674e-01
1.419419419419419404e+00 3.771893468744526579e-01
1.420670670670670654e+00 3.727402898937415832e-01
1.421921921921921905e+00 3.682653452788859361e-01
1.423173173173173156e+00 3.637655400936571359e-01
1.424424424424424407e+00 3.592419313417530291e-01
1.425675675675675658e+00 3.546956058011270785e-01
1.426926926926926908e+00 3.501276798032122994e-01
1.428178178178178159e+00 3.455392989555589600e-01
1.429429429429429410e+00 3.409316378064949915e-01
1.430680680680680661e+00 3.363058994505520594e-01
1.431931931931931912e+00 3.316633150734933921e-01
1.433183183183183163e+00 3.270051434359309006e-01
1.434434434434434413e+00 3.223326702946596733e-01
1.435685685685685664e+00 3.176472077609600597e-01
1.436936936936936915e+00 3.129500935953238860e-01
1.438188188188188166e+00 3.082426904381892485e-01
1.439439439439439417e+00 3.035263849764607280e-01
1.440690690690690667e+00 2.988025870457964306e-01
1.441941941941941918e+00 2.940727286687953579e-01
1.443193193193193169e+00 2.893382630294709101e-01
1.444444444444444420e+00 2.846006633845579170e-01
1.445695695695695671e+00 2.798614219124416769e-01
1.446946946946946921e+00 2.751220485007150329e-01
1.448198198198198172e+00 2.703840694735722416e-01
1.449449449449449423e+00 2.656490262604941921e-01
1.450700700700700674e+00 2.609184740079051879e-01
1.451951951951951925e+00 2.561939801356887259e-01
1.453203203203203175e+00 2.514771228407128301e-01
1.454454454454454426e+00 2.467694895497079266e-01
1.455705705705705677e+00 2.420726753240855234e-01
1.456956956956956928e+00 2.373882812195062253e-01
1.458208208208208179e+00 2.327179126032019596e-01
1.459459459459459429e+00 2.280631774322972039e-01
1.460710710710710680e+00 2.234256844965434308e-01
1.461961961961961931e+00 2.188070416290898990e-01
1.463213213213213182e+00 2.142088538891096516e-01
1.464464464464464433e+00 2.096327217202298698e-01
1.465715715715715683e+00 2.050802390889202853e-01
1.466966966966966934e+00 2.005529916071073504e-01
1.468218218218218185e+00 1.960525546434172817e-01
1.469469469469469436e+00 1.915804914275792414e-01
1.470720720720720687e+00 1.871383511525932242e-01
1.471971971971971938e+00 1.827276670793624158e-01
1.473223223223223188e+00 1.783499546485563247e-01
